word,translation
La salud,health
Alergia,alergy
La gripe,the flu
La fiebre,fever
La tos,cough
El resfriado,cold
La diarrea,diarrhea
El vómito,vomit
La medicina,medicine
Le receta/prescripción,the prescription
Enfermarse,to get sick
Estornudar,to sneeze
Toser,to cough
Vomitar,to vomit
La cabeza,the head
La cara,the face
La nariz,the nose
La boca,the mouth
Los dientes,the teeth
La muela,the molar
El labio,the lip
El oído,the inner ear
La oreja,the ear
La garganta,the throat
El cuello,the neck
El pecho,the chest
El estómago,the stomach
El hombro,the shoulder
La mano,the hand
El brazo,the arm
El codo,the elbow
La espalda,the back
El pie,the foot
La rodilla,the knee
La pierna,the leg
El tobillo,the ankle
